organisation,"portée géographie, anglais","portée géographie, français","secteur, anglais","secteur, français",code postale,ville,code de la province,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français","nom de la division de recensement, anglais","nom de la division de recensement, français",nom de la subdivision de recensement,nom de la région métropolitaine de recensement,type de classification des secteurs statistiques (CSS),code de classification des secteurs statistiques (CSS),latitude,longitude,
Intégration Communautaire de Nipissing Ouest,01 regional,01 régional,06 health and social services,06 services sociaux et de la santé,P2B3A1,West Nipissing / Nipissing Ouest M,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Nipissing,Nipissing,West Nipissing / Nipissing Ouest,,5,997,46.371947,-79.930244,STURGEON FALLS
Jeunesse acadienne,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,C1N6M9,Summerside,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
Jeux de la Francophonie Canadienne du Grand Sudbury 2011,04 national,04 national,08 sport and leisure,08 sports et loisirs,P3C1X8,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.493605,-81.007423,SUDBURY
La Communauté des Africains Francophones de la Saskatchewan,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,S7K2L7,0,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Saskatoon - Biggar,Saskatoon - Biggar,Division No. 11,Division No. 11,Saskatoon,Saskatoon,1,725,52.132114,-106.658417,SASKATOON
La Liberté,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,R2H3B4,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.885802,-97.118114,WINNIPEG
La nuit sur l'étang,01 regional,01 régional,02 culture,02 culture,P3C4A3,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.493133,-81.007944,SUDBURY
La Picasse centre communautaire culturel,01 regional,01 régional,01 community development,01 développement communautaire,B0E2L0,"Richmond, Subd. C",12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Cape Breton,Cape Breton,Richmond,Richmond,"Richmond, Subd. C",,5,997,45.492962,-61.000421,PETIT DE GRAT
La Ruche - Centre de loisirs et culture de Cochrane,01 regional,01 régional,02 culture,02 culture,P0L1C0,Cochrane,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Cochrane,Cochrane,Cochrane,,6,998,49.063322,-81.024942,COCHRANE
La Voix Acadienne,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,C1N6M9,Summerside,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
Laboratoire d'Art,01 regional,01 régional,02 culture,02 culture,M5A3C4,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.65042,-79.36089,TORONTO
Le Chenail,01 regional,01 régional,02 culture,02 culture,K6A1X9,Hawkesbury T,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Prescott and Russell,Prescott and Russell,Hawkesbury,Hawkesbury,3,502,45.611356,-74.605211,HAWKESBURY
Le Gaboteur,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,A1B4P5,Saint-Jean,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,Avalon Peninsula,Avalon Peninsula,Division No. 1,Division No. 1,St. John's,St. John's,1,001,47.590009,-52.736763,ST. JOHN'S
Le Phenix Service d'Intégration Sociale,02 provincial / territorial,02 provincial / territorial,06 health and social services,06 services sociaux et de la santé,K0B1A0,Alfred,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Prescott and Russell,Prescott and Russell,Alfred and Plantagenet,,4,996,45.557844,-74.880345,ALFRED
Learning Exchange,01 regional,01 régional,03 education,03 éducation,H7M2R5,Laval,24,Quebec,Québec,Quebec,Québec,Laval,Laval,Laval,Laval,Laval,Montréal,1,462,45.609043,-73.73496,VIMONT
Les éditions franco-ténoises/l'Aquilon,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,X1A2N4,Yellowknife,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 6,Region 6,Yellowknife,Yellowknife,3,995,62.451662,-114.371335,YELLOWKNIFE
Les essentielles,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,Y1A2K1,Whitehorse,60,Western Region,Région de l'Ouest,Yukon,Yukon,Yukon Territory,Territoire du Yukon,Yukon,Yukon,Whitehorse,Whitehorse,3,990,60.72232,-135.057694,WHITEHORSE
Liaison,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1L6C4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.436677,-75.660451,VANIER
Literary and Historical Society of Quebec,01 regional,01 régional,02 culture,02 culture,G1R4H3,Québec,24,Quebec,Québec,Quebec,Québec,Capitale-Nationale,Capitale-Nationale,Québec,Québec,Québec,Québec,1,421,46.812595,-71.210646,QUEBEC
Maison des artistes visuels francophones,01 regional,01 régional,02 culture,02 culture,R2H0G4,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.892734,-97.119915,WINNIPEG
Maison des arts de Russell,01 regional,01 régional,02 culture,02 culture,K0A1W0,Embrun,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Prescott and Russell,Prescott and Russell,Russell,Ottawa - Gatineau,1,505,45.275582,-75.262471,EMBRUN
Maison Gabrielle-Roy,01 regional,01 régional,02 culture,02 culture,R2H0J9,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.890111,-97.110365,WINNIPEG
Maison la Bouche Rouverte,01 regional,01 régional,02 culture,02 culture,B0W2Z0,Saulnierville,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Digby,Digby,Clare,,6,998,44.247535,-66.130314,SAULNIERVILLE
Megantic English-Speaking Community Development Corporation,01 regional,01 régional,01 community development,01 développement communautaire,G6G6H2,Thetford Mines,24,Quebec,Québec,Quebec,Québec,Chaudière - Appalaches,Chaudière - Appalaches,L'Amiante,L'Amiante,Thetford Mines,Thetford Mines,3,430,46.071051,-71.300329,THETFORD MINES
Meute Culturelle de Lafontaine,01 regional,01 régional,02 culture,02 culture,L9M1R2,Tiny,35,Ontario,Ontario,Ontario,Ontario,Kitchener - Waterloo - Barrie,Kitchener - Waterloo - Barrie,Simcoe,Simcoe,Tiny,,4,996,44.775005,-79.936999,PENETANGUISHENE
Mouvement acadien des communautés en santé du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,06 health and social services,06 services sociaux et de la santé,E1W1A5,Caraquet,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Caraquet,,6,998,47.784733,-64.962813,CARAQUET
Mouvement des intervenants et intervenantes en communication radio de l'Ontario,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,L9M2G3,Penetanguishene T,35,Ontario,Ontario,Ontario,Ontario,Kitchener - Waterloo - Barrie,Kitchener - Waterloo - Barrie,Simcoe,Simcoe,Penetanguishene,Midland,3,571,44.769373,-79.934156,PENETANGUISHENE
Mouvement d'implication francophone d'Orléans,01 regional,01 régional,02 culture,02 culture,K1C1J4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.465856,-75.524524,ORLEANS
Mouvement ontarien des femmes immigrantes francophones,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,M4K3W1,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.688962,-79.34851,EAST YORK
Neighbours Regional Association of Rouyn-Noranda,01 regional,01 régional,01 community development,01 développement communautaire,J9X5A9,Rouyn-Noranda,24,Quebec,Québec,Quebec,Québec,Abitibi - Témiscamingue,Abitibi - Témiscamingue,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,3,485,48.230537,-79.073249,ROUYN-NORANDA
North Shore Community Association,01 regional,01 régional,01 community development,01 développement communautaire,G4Z1K4,Baie-Comeau,24,Quebec,Québec,Quebec,Québec,Côte-Nord,Côte-Nord,Manicouagan,Manicouagan,Baie-Comeau,Baie-Comeau,3,406,49.221004,-68.149372,BAIE-COMEAU
Parents partenaires en éducation,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,K1G6C3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.382401,-75.624189,OTTAWA
Passerelle intégration et développement économique,01 regional,01 régional,01 community development,01 développement communautaire,M5G1K2,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.661023,-79.384432,TORONTO
Portail de l'immigrant association de Calgary,01 regional,01 régional,01 community development,01 développement communautaire,T2P3G2,Calgary,48,Western Region,Région de l'Ouest,Alberta,Alberta,Calgary,Calgary,Division No. 6,Division No. 6,Calgary,Calgary,1,825,51.047158,-114.080189,CALGARY
Prise de parole,01 regional,01 régional,02 culture,02 culture,P3C1T4,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.49268,-80.999751,SUDBURY
Production de l'Étoile,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,E1W1A5,Caraquet,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Caraquet,,6,998,47.784733,-64.962813,CARAQUET
Quebec 4-H Association,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,H9X3V9,Sainte-Anne-de-Bellevue,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Sainte-Anne-de-Bellevue,Montréal,1,462,45.404984,-73.936573,SAINTE-ANNE-DE-BELLEVUE
Quebec Anglophone Heritage Network,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,J1M1K7,Sherbrooke,24,Quebec,Québec,Quebec,Québec,Estrie,Estrie,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke,1,433,45.375842,-71.862988,SHERBROOKE
Quebec Association for Lifelong Learning,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,H3G1M8,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.497123,-73.578498,MONTREAL
Quebec Community Groups Network,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,H3B3W6,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.504564,-73.569708,MONTREAL
Quebec Community Newspapers Association,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,J7V4X2,L'Île-Perrot,24,Quebec,Québec,Quebec,Québec,Montérégie,Montérégie,Vaudreuil-Soulanges,Vaudreuil-Soulanges,L'Île-Perrot,Montréal,1,462,45.391823,-73.961169,L'ILE-PERROT
Quebec Drama Federation,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,H3B1A7,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.506873,-73.560653,MONTREAL
Quebec Farmers' Association,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,J4H4E7,Longueuil,24,Quebec,Québec,Quebec,Québec,Montérégie,Montérégie,Longueuil,Longueuil,Longueuil,Montréal,1,462,45.544506,-73.491502,LONGUEUIL
Quebec Federation of Home and School Associations,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,H4B2L9,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.463256,-73.627773,MONTREAL
Quebec-Labrador Mission Canadian Foundation,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,H2Z1Y7,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.50378,-73.565955,MONTREAL
Radio Beauséjour,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E4P2M9,Shediac T,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Shediac,,4,996,46.214438,-64.522841,SHEDIAC
Radio Communautaire Cornwall Alexandria,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,K6H1E1,Cornwall,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,"Stormont, Dundas and Glengarry","Stormont, Dundas and Glengarry",Cornwall,Cornwall,3,501,45.019362,-74.700344,CORNWALL
Radio Communautaire des Hauts-Plateaux,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E8A2K2,Saint-Quentin,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Restigouche,Restigouche,Saint-Quentin,,6,998,47.529971,-67.348845,SAINT-QUENTIN
Radio communautaire du Manitoba,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Radio Miracadie,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E1V1A1,Miramichi,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Northumberland,Northumberland,Miramichi,Miramichi,3,329,47.0133,-65.586125,MIRAMICHI
RAFO Rive-Nord,01 regional,01 régional,01 community development,01 développement communautaire,P5A2M3,Elliot Lake,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Algoma,Algoma,Elliot Lake,Elliot Lake,3,582,46.379312,-82.665072,ELLIOT LAKE
Regional Association of West Quebecers,01 regional,01 régional,01 community development,01 développement communautaire,J9H3L4,Gatineau,24,Quebec,Québec,Quebec,Québec,Outaouais,Outaouais,Gatineau,Gatineau,Gatineau,Ottawa - Gatineau,1,505,45.394811,-75.848154,GATINEAU
Regroupement artistique francophone de l'Alberta,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Régroupement des aînées et aînés de la Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,B2Y1G3,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.666916,-63.566358,DARTMOUTH
Régroupement des éditeurs canadiens-français,04 national,04 national,02 culture,02 culture,K1N5K4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431471,-75.691761,OTTAWA
Régroupement des Femmes Immigrantes Francophones,01 regional,01 régional,01 community development,01 développement communautaire,M5A1Z4,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.657125,-79.373936,TORONTO
Régroupement des organismes du patrimoine franco-ontarien,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1G6C3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.382401,-75.624189,OTTAWA
Régroupement des parents et amis des sourds et malentendants franco-ontariens,02 provincial / territorial,02 provincial / territorial,06 health and social services,06 services sociaux et de la santé,K0A1N0,Clarence Creek,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Prescott and Russell,Prescott and Russell,Clarence-Rockland,Ottawa - Gatineau,1,505,45.50946,-75.219226,CLARENCE CREEK
Regroupement Étudiant Franco-Ontarien,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,K1L7X5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.440751,-75.671291,VANIER
Régroupement féministe du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,E1C2G6,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.09331,-64.788234,MONCTON
Régroupement multiculturel francophone de London,01 regional,01 régional,01 community development,01 développement communautaire,N5Y6L3,London,35,Ontario,Ontario,Ontario,Ontario,London,London,Middlesex,Middlesex,London,London,1,555,42.998674,-81.234249,LONDON
Réseau Action Femmes (Manitoba),02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Réseau Atlantique de Diffusion des Arts de la Scène,03 interprovincial,03 interprovincial,02 culture,02 culture,E1W1B7,Caraquet,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Caraquet,,6,998,47.781252,-64.900961,CARAQUET
Réseau des Grands Espaces,03 interprovincial,03 interprovincial,02 culture,02 culture,R2H3G9,North Battleford,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.880912,-97.114281,WINNIPEG
Réseau Ontario des arts de la scene,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Réseau pour Le Développement de l'alphabétisme et des Compétences,04 national,04 national,01 community development,01 développement communautaire,K1L6C7,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.436064,-75.662036,VANIER
Réseau-femmes Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,V6B1S5,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.281298,-123.108028,VANCOUVER
Salon du livre de Dieppe,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E1A6V3,Dieppe,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Dieppe,Moncton,1,305,46.09787,-64.757972,DIEPPE
Salon du livre de la Péninsule Acadienne,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E8S1P6,Shippagan T,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Shippagan,,6,998,47.745618,-64.719373,SHIPPAGAN
Salon du livre de l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,C1N6M9,0,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
Salon du livre d'Edmundston,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E3V2Z9,Edmundston,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,Madawaska,Madawaska,Edmundston,Edmundston,3,335,47.374167,-68.327133,EDMUNDSTON
Salon du livre du Grand Sudbury,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,P3C1Z2,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.493705,-80.994442,SUDBURY
Scouts Francophones de la Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,08 sport and leisure,08 sports et loisirs,V3K2C3,Coquitlam,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Coquitlam,Vancouver,1,933,49.241416,-122.858643,COQUITLAM
Société acadienne de Clare,01 regional,01 régional,01 community development,01 développement communautaire,B0W2Z0,Saulnierville,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Digby,Digby,Clare,,6,998,44.247535,-66.130314,SAULNIERVILLE
Société acadienne Sainte-Croix,01 regional,01 régional,01 community development,01 développement communautaire,B2G2L4,Pomquet,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,North Shore,Côte-nord,Antigonish,Antigonish,"Antigonish, Subd. B",,6,998,45.595025,-61.900616,ANTIGONISH
Société canadienne-française de Prince Albert,01 regional,01 régional,01 community development,01 développement communautaire,S6V0Z5,Prince Albert,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Prince Albert,Prince Albert,Division No. 15,Division No. 15,Prince Albert,Prince Albert,3,745,53.203855,-105.743168,PRINCE ALBERT
Société Choralies Edmonton 2012,01 regional,01 régional,02 culture,02 culture,T6C3N1,0,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.521536,-113.467178,EDMONTON
Société cinemagine de l'Alberta,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,T1J1C3,Lethbridge,48,Western Region,Région de l'Ouest,Alberta,Alberta,Lethbridge - Medicine Hat,Lethbridge - Medicine Hat,Division No. 2,Division No. 2,Lethbridge,Lethbridge,2,810,49.691573,-112.810326,LETHBRIDGE
Société Culturelle de Kent-Sud,01 regional,01 régional,02 culture,02 culture,E4R1T3,Shediac,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Shediac,,4,996,46.244498,-64.576506,SHEDIAC BRIDGE
Société Culturelle Sud-Acadie,01 regional,01 régional,02 culture,02 culture,E4P8W5,Shediac T,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Shediac,,4,996,46.213356,-64.561426,SHEDIAC
Société de l'Acadie du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,E8J1V1,Petit Rocher,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Petit Rocher,Bathurst,3,328,47.772696,-65.715332,PETIT-ROCHER
Société des jeux de l'Acadie,03 interprovincial,03 interprovincial,08 sport and leisure,08 sports et loisirs,E8J1V1,Petit Rocher,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Petit Rocher,Bathurst,3,328,47.772696,-65.715332,PETIT-ROCHER
Société du gala albertain de la chanson,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Société franco-manitobaine,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,R2H0G2,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.891786,-97.123618,WINNIPEG
Société franco-ontarienne d'histoire et de généalogie,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1G6C3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.382401,-75.624189,OTTAWA
Société francophone de Victoria,01 regional,01 régional,01 community development,01 développement communautaire,V8W2Z6,Victoria,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Vancouver Island and Coast,Ile de Vancouver et la côte,Capital,Capital,Victoria,Victoria,1,935,48.426561,-123.368939,VICTORIA
Société francophone des arts visuels de l'Alberta,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,T6C1Z4,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.531752,-113.467465,EDMONTON
Société historique de la Saskatchewan,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,S4P0J5,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.45051,-104.611502,REGINA
Société historique de Saint-Boniface,01 regional,01 régional,02 culture,02 culture,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
